"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Mu_L1surv[1]";1,18095100717545;0,021613332325593;0,00012478463236266;0,000124787642081691;1,13920424406758;1,16623774708758;1,18082933539096;1,19544281908674;1,22391679390445
"Mu_L1surv[2]";1,18735647114323;0,022059050022219;0,000127357984683955;0,000127367901048733;1,1446313794179;1,17244404262142;1,18704053510171;1,20220297838032;1,23118297885483
"Mu_L1surv[3]";1,15956729654281;0,0204813359601855;0,000118249048299763;0,000120581503437063;1,12024246539341;1,14568042714354;1,15927883006212;1,17300325707219;1,20038287885471
"Mu_L1surv[4]";1,15848032203696;0,0204842096270198;0,000118265639422966;0,000118272769274252;1,11931042658675;1,14458295866365;1,15834175213446;1,17206194987034;1,19904190059021
"Mu_L1surv[5]";1,14095297424974;0,0220787152034499;0,000127471521660729;0,000127523038763008;1,09851033330248;1,12576856131705;1,14082703708596;1,15578909790824;1,18500979300672
"Mu_L1surv[6]";1,14515088131022;0,0218011092711323;0,000125868763063207;0,000126486878181452;1,10294870718158;1,13046120144499;1,14493886275961;1,15962290175469;1,18871206860359
"Mu_L1surv[7]";1,15888065521947;0,0190520429212213;0,000109997021091794;0,000111170213401068;1,12202897812349;1,14603819077409;1,15860853350417;1,17149583819159;1,19675310181993
"Mu_L1surv[8]";1,18107304010691;0,0194048280724267;0,00011203382711194;0,000113767338307225;1,14319733669592;1,16811819566217;1,18082010932232;1,19405233100014;1,21953305317212
"Mu_L1surv[9]";1,13374714022365;0,0206539305190031;0,000119245523449703;0,000119240873535214;1,0937707812823;1,11970628666822;1,13355646789513;1,14772064675288;1,17466068509836
"Mu_L1surv[10]";1,17631654425771;0,022172662062947;0,00012801392410693;0,000130274285626118;1,133412410501;1,16129603555322;1,1761439337837;1,19114319533673;1,22053352699912
"Mu_L1surv[11]";1,11823243462237;0,0212224470620755;0,000122527855241519;0,000123039967025423;1,07752876428659;1,1038778919963;1,11783906660604;1,13235822105764;1,16105484847653
"Mu_L1surv[12]";1,15510055303061;0,0200978163485153;0,00011603479678939;0,000114878343143871;1,11657429515644;1,14141657384565;1,15485197620578;1,16858225017837;1,19527282875937
"Mu_L1surv[13]";1,16282594783855;0,0217982306627985;0,000125852143410243;0,000125854068132602;1,12111901938648;1,1479469044031;1,16247624137959;1,17730270696216;1,20634895450443
"Mu_L1surv[14]";1,10275003532816;0,0180576841111705;0,000104256087825255;0,000104256297111963;1,06769920638714;1,09059769494776;1,10254468793862;1,11473350625496;1,13853299791681
"Mu_L1surv[15]";1,05602607201755;0,0191359224957938;0,000110481300041384;0,000111720391601184;1,01898187830531;1,04305908734664;1,05592517841509;1,06879712460249;1,09421261571885
"Mu_L1surv[16]";1,16278714992961;0,0218530539681875;0,000126168665911485;0,000126488091785489;1,12079527671431;1,1478430140297;1,16257455936757;1,17732352261499;1,20644457649733
"Mu_L1surv[17]";1,04959490427065;0,0191078995923392;0,000110319509732854;0,000109479860769012;1,0129503765829;1,03651943513587;1,0492768015602;1,06235951144137;1,08809752519015
"Mu_L1surv[18]";1,02915434379972;0,0173460885935529;0,000100147689188749;0,000100615847173375;0,995465265502041;1,01741084168904;1,02894703261045;1,0407138897757;1,06329870257689
"Mu_L1surv[19]";1,12704940601464;0,0190367428614717;0,000109908686155644;0,000110177666921795;1,09031540480526;1,11418945893058;1,12681850400452;1,13963425914934;1,16531756261884
"Mu_L1surv[20]";1,07830420057466;0,0175959830872815;0,000101590455720981;0,000102949672580777;1,04452783077348;1,06658453180007;1,07816356188916;1,08999860607291;1,11363895435954
"Mu_L1surv[21]";1,09314609335294;0,0189033369602426;0,000109138466825783;0,000108298460303621;1,05726511817268;1,08025098300315;1,09304629941101;1,10568389529209;1,13066507014736
"Mu_L1surv[22]";1,10425531303228;0,0192262675287708;0,000111002907332476;0,000111982885041128;1,06712017564525;1,09114332039255;1,10415998738545;1,11699132348236;1,14297096720968
"Mu_L1surv[23]";1,06808199023143;0,0210719593658064;0,000121659014122012;0,000118626103577126;1,02743668825125;1,05398354347197;1,0677701230185;1,08206618169408;1,11017535279129
"Mu_L1surv[24]";1,07714867643094;0,0209200250890895;0,000120781821166395;0,000120671403460261;1,03635417535824;1,06307126958863;1,07691614778027;1,09093922418519;1,11883371995107
"Mu_L2[1]";2,99653669663368;0,039742713261666;0,00022945466199949;0,000229462014396333;2,91921390378716;2,96971706437915;2,99623967975112;3,02296833173268;3,07602685955022
"Mu_L2[2]";2,94124848242095;0,0297543748618389;0,000171786963360517;0,000172228575399517;2,88330229581675;2,92122426453138;2,94109574360047;2,9609442164999;3,00015638179893
"Mu_L2[3]";2,9328186642686;0,0272004095020912;0,000157041637481004;0,000157238008454656;2,87997419981608;2,91444158324075;2,93257025606969;2,95103997227287;2,98635270208594
"Mu_L2[4]";2,98134472806941;0,0370869977344949;0,000214121881254457;0,000211243176318601;2,90938686565497;2,95625951971024;2,98102250061508;3,00597451077222;3,05524445074492
"Mu_L2[5]";2,86716646933946;0,040085886700948;0,000231435974774971;0,000227298412902585;2,78909528351423;2,84012895396328;2,86700532580283;2,89428219947674;2,94577571239376
"Mu_L2[6]";2,90020739485492;0,0330839541337193;0,0001910102982496;0,000188439938275833;2,83655924540908;2,87776044192925;2,9001073683232;2,92226495491388;2,96544441398891
"Mu_L2[7]";2,91872743183458;0,0313187636417866;0,000180818966192718;0,000176659815234667;2,85758941289856;2,89738714984204;2,91850009175695;2,93975718834076;2,98044841913562
"Mu_L2[8]";2,94632848737587;0,024586186781408;0,000141948415565923;0,000142179707130606;2,89807004550318;2,9297502405848;2,94636313137568;2,96278232111121;2,99457395135951
"Mu_L2[9]";2,9448408591663;0,0333087530535088;0,000192308175418141;0,000192199565756817;2,87955566023013;2,92248377014254;2,94454118864513;2,96736217852561;3,0099602039341
"Mu_L2[10]";2,96671506923645;0,0326038000382226;0,000188238127286725;0,000186529136454529;2,90342783947745;2,94449487604447;2,96656793070321;2,98845041641844;3,03119632101309
"Mu_L2[11]";2,83518957043317;0,0312664481785747;0,000180516922725036;0,000180508263960255;2,77451830597749;2,81413675252185;2,834797532019;2,85620175275672;2,8969199123661
"Mu_L2[12]";2,69910778919367;0,0271884694479505;0,000156972701546281;0,000155942849480119;2,64566955665248;2,68091255966685;2,69892407570458;2,71742196215948;2,75280609934528
"Mu_L2[13]";2,66863620402847;0,0306756779813339;0,000177106109400974;0,00017842703101438;2,60792339120927;2,64808358791929;2,66865274878215;2,68917397251658;2,72919500647402
"Mu_L2[14]";2,81387233161725;0,0235053636885506;0,000135708280529847;0,000137325198468012;2,7679186766263;2,79798474080242;2,81386716273278;2,82968997434713;2,85985544699093
"Mu_L2[15]";2,54082034217445;0,0250668965101199;0,000144723794478662;0,000144519449787103;2,49223472370905;2,52376617981103;2,54066329057429;2,55779235979453;2,58991288150316
"Mu_L2[16]";2,68192042900143;0,0272898008407681;0,000157557738615487;0,00015857911914777;2,62861656454706;2,66374109375695;2,68182230688221;2,69994080153117;2,736182204272
"Mu_L2[17]";2,60421434283674;0,0289054058202051;0,000166885438313308;0,000166351212098146;2,54813148804903;2,58468813078246;2,60406407742953;2,62337815965395;2,66159840191908
