"";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018";"X2019"
"21";3,299558097;2,754820997;3,32577479;2,964934463;2,838893346;2,471859641;2,996193505;2,756498024;2,92169778;3,475584466;2,778166938;2,408190529;2,913798183;3,02096472;2,681593187;2,513057302;2,352011901;2,241210303;2,644140768;2,44938819;2,9063077;2,823912378;2,981212537;2,520547786
"22";2,76773375;2,621669317;2,745482621;3,501891098;2,895330422;3,291777632;3,116041245;3,101060277;3,016295532;2,512023214;3,063607859;2,576726414;2,440668337;3,34780789;2,614178833;2,423171497;2,808931411;2,771478992;2,385719078;2,445642948;2,999938747;3,108121516;2,363247627;2,883836248
"23";2,782714718;3,179717117;2,614745353;2,820167136;3,074843584;3,142257938;3,142257938;2,842638588;2,77349775;3,076994978;2,951250602;3,194691324;2,377927929;3,016295532;2,26961658;3,262105678;3,359481967;2,628752917;2,472134294;2,451691083;2,445642948;2,9063077;2,853874313;2,868855281
"24";2,786459959;2,885558265;2,526030779;3,123531729;2,73188435;2,876219888;3,258360436;2,629737586;3,478545157;3,175047929;2,820167136;2,539273995;2,558000205;2,393209562;2,516802544;2,229871414;2,895071974;2,885558265;2,08984497;2,479350125;2,681593187;2,749007541;2,704064638;2,644140768
"25";2,14782654;3,114348483;2,960265275;2,344521418;2,156904417;2,838866383;3,067353101;2,782836126;3,189055493;2,94625771;2,913798183;2,913798183;2,84638383;2,941588522;2,50931206;2,531783512;2,426916739;2,241210303;2,698790739;2,445642948;2,411935771;3,067353101;2,861364797;2,498076335
"26";2,6291598;2,913573393;2,763988508;2,367049367;3,408507335;2,638091294;3,220908018;2,988280404;2,84820476;2,731475056;2,426916739;3,082334068;2,456878674;2,815520443;2,763988508;2,895071974;2,393209562;2,198456984;2,295833273;2,636650284;2,625414559;2,524293028;2,891326732;3,08607931
"27";2,712798304;3,193724681;3,058318225;2,898817216;2,228418919;2,750151809;2,161004565;2,792174502;2,698790739;2,829528007;2,960265275;2,801512878;3,101060277;2,843535571;2,632905042;2,526030779;2,652098858;2,853874313;2,606688349;2,868855281;3,425790832;2,666612219;2,868855281;2,516802544
"28";3,254424127;2,932524393;3,329131137;3,37115383;2,430661981;2,786459959;2,829528007;3,016295532;2,712798304;2,550509721;2,632905042;2,778166938;3,464537593;2,6291598;2,339263253;2,801512878;2,426916739;2,927580958;2,70780988;2,749007541;3,057957807;2,610433591;3,149748422;2,584216898
"29";2,205947468;2,680113987;2,815520443;2,247145129;2,992448263;3,198393869;3,291777632;3,492552722;2,292088031;3,172219873;2,265871338;2,258380854;2,438152465;2,470000521;2,734026573;2,685899158;2,685338429;2,468112718;2,530699967;2,782836126;2,737771815;2,752752783;3,056117375;2,535528753
"30";3,861418584;2,656768046;2,925033909;2,52803827;2,782836126;2,64788601;2,549376719;2,9063077;2,969603651;2,460662145;2,58796214;2,84820476;2,243399887;2,621669317;2,283232996;2,393209562;2,932250146;2,704064638;2,475604883;2,717467492;2,561745447;2,370738111;2,898817216;2,782714718
"31";2,726536089;2,810851255;2,70780988;3,187200841;2,325795208;3,041136407;2,715300364;2,872600523;3,044881649;3,156371176;2,617924075;3,056117375;2,52803827;3,142363612;3,02096472;2,063628276;2,638091294;2,568053472;2,651631252;2,558000205;2,843535571;2,962486328;2,187221259;2,712798304
"32";2,610076165;2,72213668;2,885660261;2,964934463;2,38946432;2,273361822;3,114348483;2,572981172;2,561745447;3,08607931;2,782836126;2,262126096;2,279350039;2,580471656;2,378228594;2,712798304;2,750151809;2,198456984;2,591707382;2,366992869;2,241210303;2,749007541;2,763988508;2,26961658
"33";2,115142223;2,754820997;2,297001051;2,8715507;2,430661981;2,614178833;2,84820476;2,829528007;2,992448263;3,198393869;2,475604883;2,434407223;2,540038343;3,039641473;2,651631252;2,602943107;2,026175858;2,22253355;2,352011901;2,606688349;2,708129116;2,14976884;1,966251988;2,981212537
"34";3,025633909;2,843535571;2,778166938;2,810851255;2,194711742;2,576726414;3,007540177;2,876219888;3,039641473;2,726536089;2,228418919;2,734026573;2,625414559;2,110473035;2,483095367;2,918242582;2,287902184;2,498076335;2,280852306;2,810851255;2,698790739;2,33193527;2,700319396;2,614178833
"35";3,291777632;2,838866383;3,063607859;3,212401434;2,842638588;2,007449648;3,151701988;2,79684369;2,670357461;2,741517057;2,719045606;2,340776176;2,430661981;2,311248125;2,09259142;2,852873948;2,283232996;2,393209562;2,79684369;2,723926473;2,642760482;3,02615544;2,086099728;3,408170112
"36";2,614178833;2,84820476;2,677924078;2,58796214;NA;2,42330864;2,64788601;3,091002542;NA;2,745482621;2,584216898;2,554254963;2,647286333;2,82765762;2,408190529;2,591707382;2,610433591;2,374483353;2,880889077;2,456878674;2,726805868;2,730281331;2,339263253;2,441897706
"37";2,921288667;3,095671731;2,501821577;2,572981172;NA;2,704064638;3,184386305;3,095671731;NA;2,99761878;2,677847945;2,8715507;2,14976884;2,835148104;2,25089037;2,756498024;2,355757143;2,561745447;2,962486328;2,876219888;2,399962699;2,719045606;2,625414559;2,880091006
"38";NA;2,759490185;2,754820997;NA;NA;2,771478992;3,109679295;2,685338429;NA;2,530699967;2,670592073;2,32954045;2,078609244;2,960265275;2,561745447;2,453133432;2,582061036;2,6291598;2,786459959;2,862212324;2,726805868;3,123531729;2,801512878;2,277107064
"39";NA;3,100340919;2,675444799;NA;NA;2,9063077;2,596068601;2,526030779;NA;NA;2,115142223;2,471859641;2,427977828;2,689083671;2,82765762;2,415681013;2,374483353;2,460662145;2,790205201;3,076994978;2,610076165;2,644140768;2,255217867;2,464369158
"40";NA;2,453133432;2,745262299;NA;NA;2,778969476;2,736144244;2,596068601;NA;NA;2,52803827;3,07232579;2,516692402;2,666612219;2,876219888;2,385719078;2,254635612;2,726536089;2,76773375;2,239654645;2,936919334;3,250869953;2,644140768;2,307068999
"41";NA;2,58796214;2,549376719;NA;NA;2,531783512;2,94625771;2,92291177;NA;NA;2,99761878;3,212401434;2,172240291;2,577391848;2,441985392;2,549376719;2,531783512;2,367825979;2,79108684;2,432647016;2,642760482;2,299578515;2,385719078;2,666612219
