index;stage;cohort;sexe;age;migration;end1sum
373;Smolt;1996;NA;Other;NA;NA
374;Smolt;1996;NA;Other;NA;NA
375;Smolt;1996;NA;Other;NA;NA
376;Smolt;1996;NA;Other;NA;NA
377;Smolt;1996;NA;Other;NA;NA
378;Smolt;1996;NA;Other;NA;NA
379;Smolt;1996;NA;Other;NA;NA
380;Smolt;1996;NA;Other;NA;NA
381;Smolt;1996;NA;Other;NA;NA
382;Smolt;1996;NA;Other;NA;NA
383;Smolt;1996;NA;Other;NA;NA
384;Adult;1996;NA;1SW;NA;NA
385;Adult;1996;M;1SW;NA;NA
386;Adult;1996;F;1SW;NA;NA
387;Smolt;1997;NA;Other;NA;NA
388;Smolt;1997;NA;Other;NA;NA
389;Smolt;1997;NA;Other;NA;NA
390;Smolt;1997;NA;Other;NA;NA
391;Smolt;1997;NA;Other;NA;NA
392;Smolt;1997;NA;Other;NA;NA
393;Smolt;1997;NA;1FW;NA;NA
394;Smolt;1997;NA;1FW;NA;NA
395;Smolt;1997;NA;1FW;NA;NA
396;Smolt;1997;NA;1FW;NA;NA
397;Smolt;1997;NA;2FW;NA;NA
398;Smolt;1997;NA;1FW;NA;NA
399;Smolt;1997;NA;1FW;NA;NA
400;Smolt;1997;M;1FW;1,049826351;NA
401;Smolt;1997;NA;1FW;NA;NA
402;Smolt;1997;NA;1FW;NA;NA
403;Smolt;1997;NA;1FW;NA;NA
404;Smolt;1997;NA;1FW;NA;NA
405;Smolt;1997;NA;1FW;NA;NA
406;Smolt;1997;NA;1FW;NA;NA
407;Smolt;1997;NA;1FW;NA;NA
408;Smolt;1997;NA;1FW;NA;NA
409;Smolt;1997;NA;1FW;NA;NA
410;Smolt;1997;NA;1FW;NA;NA
411;Smolt;1997;NA;1FW;NA;NA
412;Smolt;1997;NA;1FW;NA;NA
413;Smolt;1997;NA;1FW;NA;NA
414;Smolt;1997;NA;1FW;NA;NA
415;Smolt;1997;NA;1FW;NA;NA
416;Smolt;1997;NA;1FW;NA;NA
417;Smolt;1997;NA;1FW;NA;NA
418;Smolt;1997;NA;1FW;NA;NA
419;Smolt;1997;NA;1FW;NA;NA
420;Smolt;1997;NA;1FW;NA;NA
421;Smolt;1997;M;1FW;1,235439214;NA
422;Smolt;1997;NA;1FW;NA;NA
423;Smolt;1997;NA;1FW;NA;NA
424;Smolt;1997;NA;1FW;NA;NA
425;Smolt;1997;NA;1FW;NA;NA
426;Smolt;1997;F;1FW;1,051311254;NA
427;Smolt;1997;NA;1FW;NA;NA
428;Smolt;1997;NA;1FW;NA;NA
429;Smolt;1997;NA;1FW;NA;NA
430;Smolt;1997;F;2FW;1,315623971;NA
431;Smolt;1997;NA;1FW;NA;NA
432;Smolt;1997;NA;1FW;NA;NA
433;Smolt;1997;NA;1FW;NA;NA
434;Smolt;1997;NA;1FW;NA;NA
435;Smolt;1997;NA;1FW;NA;NA
436;Smolt;1997;NA;Other;NA;NA
437;Smolt;1997;NA;1FW;NA;NA
438;Smolt;1997;NA;1FW;NA;NA
439;Smolt;1997;NA;1FW;NA;NA
440;Smolt;1997;NA;1FW;NA;NA
441;Smolt;1997;NA;1FW;NA;NA
442;Smolt;1997;M;1FW;0,959247274;NA
443;Smolt;1997;NA;Other;NA;NA
444;Smolt;1997;NA;Other;NA;NA
445;Smolt;1997;NA;Other;NA;NA
446;Smolt;1997;NA;Other;NA;NA
447;Smolt;1997;NA;Other;NA;NA
448;Smolt;1997;NA;1FW;NA;NA
449;Smolt;1997;NA;1FW;NA;NA
450;Smolt;1997;NA;1FW;NA;NA
451;Smolt;1997;F;1FW;1,006764167;NA
452;Smolt;1997;NA;Other;NA;NA
453;Smolt;1997;NA;Other;NA;NA
454;Smolt;1997;NA;Other;NA;NA
455;Smolt;1997;NA;Other;NA;NA
456;Smolt;1997;NA;Other;NA;NA
457;Smolt;1997;NA;Other;NA;NA
458;Smolt;1997;NA;Other;NA;NA
459;Smolt;1997;NA;Other;NA;NA
460;Smolt;1997;NA;Other;NA;NA
461;Smolt;1997;NA;Other;NA;NA
462;Smolt;1997;NA;Other;NA;NA
463;Smolt;1997;NA;Other;NA;NA
464;Smolt;1997;NA;Other;NA;NA
465;Smolt;1997;NA;Other;NA;NA
466;Smolt;1997;NA;Other;NA;NA
467;Smolt;1997;NA;Other;NA;NA
468;Smolt;1997;NA;Other;NA;NA
469;Smolt;1997;NA;Other;NA;NA
470;Smolt;1997;NA;1FW;NA;NA
471;Smolt;1997;NA;1FW;NA;NA
472;Smolt;1997;NA;1FW;NA;NA
473;Smolt;1997;NA;1FW;NA;NA
474;Smolt;1997;NA;1FW;NA;NA
475;Smolt;1997;NA;1FW;NA;NA
476;Smolt;1997;NA;1FW;NA;NA
477;Smolt;1997;NA;1FW;NA;NA
478;Smolt;1997;NA;Other;NA;NA
479;Smolt;1997;NA;Other;NA;NA
480;Smolt;1997;NA;Other;NA;NA
481;Smolt;1997;NA;Other;NA;NA
482;Smolt;1997;NA;Other;NA;NA
483;Smolt;1997;NA;Other;NA;NA
484;Smolt;1997;NA;Other;NA;NA
485;Smolt;1997;NA;Other;NA;NA
